Date,Entity,Value
2021-08-24,PORTFOLIO,13308.155806183076
2021-08-25,PORTFOLIO,13356.638615790022
2021-08-26,PORTFOLIO,13259.95861346233
2021-08-27,PORTFOLIO,13412.122617968498
2021-08-30,PORTFOLIO,13398.54226504372
2021-08-31,PORTFOLIO,13355.283468530133
2021-09-01,PORTFOLIO,13303.679546730611
2021-09-02,PORTFOLIO,13414.113091685287
2021-09-03,PORTFOLIO,13394.883628333722
2021-09-07,PORTFOLIO,13338.153508726105
2021-09-08,PORTFOLIO,13282.952535940207
2021-09-09,PORTFOLIO,13244.182543202092
2021-09-10,PORTFOLIO,13152.23954754771
2021-09-13,PORTFOLIO,13249.12174247817
2021-09-14,PORTFOLIO,13157.215272118796
2021-09-15,PORTFOLIO,13342.898094643033
2021-09-16,PORTFOLIO,13295.361726013574
2021-09-17,PORTFOLIO,13198.870652400225
2021-09-20,PORTFOLIO,12937.378885724855
2021-09-21,PORTFOLIO,12942.384711192608
2021-09-22,PORTFOLIO,13130.532922856986
2021-09-23,PORTFOLIO,13372.978364813722
2021-09-24,PORTFOLIO,13402.55176244459
2021-09-27,PORTFOLIO,13462.489484643536
2021-09-28,PORTFOLIO,13246.983830347821
2021-09-29,PORTFOLIO,13271.112666163373
2021-09-30,PORTFOLIO,13105.160619558252
2021-10-01,PORTFOLIO,13307.777689710008
2021-10-04,PORTFOLIO,13191.746334953981
2021-10-05,PORTFOLIO,13339.629861784591
2021-10-06,PORTFOLIO,13337.91685352727
2021-10-07,PORTFOLIO,13457.185173615908
2021-10-08,PORTFOLIO,13524.768649828557
2021-10-11,PORTFOLIO,13432.059439984574
2021-10-12,PORTFOLIO,13392.606861274973
2021-10-13,PORTFOLIO,13405.233713493813
2021-10-14,PORTFOLIO,13626.84913565861
2021-10-15,PORTFOLIO,13736.917502138103
2021-10-18,PORTFOLIO,13752.244554620764
2021-10-19,PORTFOLIO,13895.199389261417
2021-10-20,PORTFOLIO,13982.91741280432
2021-10-21,PORTFOLIO,13948.878419424025
2021-10-22,PORTFOLIO,14012.847377452676
2021-10-25,PORTFOLIO,14078.141434715113
2021-10-26,PORTFOLIO,14120.893779939037
2021-10-27,PORTFOLIO,13955.728808211079
2021-10-28,PORTFOLIO,14088.23976026022
2021-10-29,PORTFOLIO,14103.80882823383
2021-11-01,PORTFOLIO,14151.090811942286
2021-11-02,PORTFOLIO,14185.636761421883
2021-11-03,PORTFOLIO,14223.209903924953
2021-11-04,PORTFOLIO,14228.320614460044
2021-11-05,PORTFOLIO,14259.681678262466
2021-11-08,PORTFOLIO,14336.059481861701
2021-11-09,PORTFOLIO,14300.321318990113
2021-11-10,PORTFOLIO,14157.701979209885
2021-11-11,PORTFOLIO,14182.236019194343
2021-11-12,PORTFOLIO,14251.681878316356
2021-11-15,PORTFOLIO,14255.85515442378
2021-11-16,PORTFOLIO,14310.75121751666
2021-11-17,PORTFOLIO,14222.57532110896
2021-11-18,PORTFOLIO,14230.43137474514
2021-11-19,PORTFOLIO,14086.77760345558
2021-11-22,PORTFOLIO,14124.42010555027
2021-11-23,PORTFOLIO,14255.729650436348
2021-11-24,PORTFOLIO,14304.473299255418
2021-11-26,PORTFOLIO,13948.666843687739
2021-11-29,PORTFOLIO,14084.939099336638
2021-11-30,PORTFOLIO,13817.890166594854
2021-12-01,PORTFOLIO,13684.518244245532
2021-12-02,PORTFOLIO,13926.130348844299
2021-12-03,PORTFOLIO,13792.99039503239
2021-12-06,PORTFOLIO,13950.642844061975
2021-12-07,PORTFOLIO,14256.912423005735
2021-12-08,PORTFOLIO,14283.255828605272
2021-12-09,PORTFOLIO,14211.966521205002
2021-12-10,PORTFOLIO,14329.64259154355
2021-12-13,PORTFOLIO,14178.25835112775
2021-12-14,PORTFOLIO,14105.852037436009
2021-12-15,PORTFOLIO,14276.686054910931
2021-12-16,PORTFOLIO,14241.558779515912
2021-12-17,PORTFOLIO,14051.516771246474
2021-12-20,PORTFOLIO,13881.785619425906
2021-12-21,PORTFOLIO,14149.526948612902
2021-12-22,PORTFOLIO,14279.265415264106
2021-12-23,PORTFOLIO,14341.063319779369
2021-12-27,PORTFOLIO,14565.697303098881
2021-12-28,PORTFOLIO,14539.89821078195
2021-12-29,PORTFOLIO,14540.289846947771
2021-12-30,PORTFOLIO,14496.097144158657
2021-12-31,PORTFOLIO,14464.536168986757
2022-01-03,PORTFOLIO,14604.180000653652
2022-01-04,PORTFOLIO,14711.621088160882
2022-01-05,PORTFOLIO,14509.106681123638
2022-01-06,PORTFOLIO,14565.576889801454
2022-01-07,PORTFOLIO,14586.710435822608
2022-01-10,PORTFOLIO,14594.618760633504
2022-01-11,PORTFOLIO,14804.326091389728
